[2025-03-11 15:48:33] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:35] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:36] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:37] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:38] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:39] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:41] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:42] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:43] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:44] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:44] Tentative d'arrêt détectée - Processus : powershell.exe (PID: 8580) | Utilisateur : CyberBeast
[2025-03-11 15:48:46] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:47] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:48] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:49] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:50] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:52] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:53] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:54] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:55] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:56] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:58] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:48:59] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:49:00] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:49:01] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:49:03] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:49:04] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:49:05] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:49:06] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:49:08] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:49:09] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:49:10] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:49:11] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:49:12] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:49:14] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:49:15] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:49:16] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:49:17] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:49:19] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
[2025-03-11 15:49:20] Tentative d'arrêt détectée - Processus : winlogon.exe (PID: 916) | Utilisateur : CyberBeast
